"연번","어린이집명","어린이집유형","주소","정원","현원"
"1818","지혜샘어린이집","가정","충청남도 천안시 동남구 서부대로 226-12 107동 104호(신방동, 한라동백2차아파트)","20","20"
"1819","주은어린이집","가정","충청남도 천안시 동남구 신계1길 41 108동 102호(목천읍 신계리, 동우아파트)","13","13"
"1820","뽀로로와친구들어린이집","가정","전라북도 익산시 무왕로19길 11 609동 101호(어양동, 주공6단지아파트)","11","11"
"1821","태평어린이집","민간","전라북도 전주시 완산구 전주천동로 334 (태평동)","49","37"
"1822","까꿍베베어린이집","가정","전라북도 전주시 완산구 중산7길 15-12 (중화산동2가)","20","20"
"1823","하늘어린이집","가정","전라북도 전주시 덕진구 천마산로 33 204동 104호(송천동2가, 송천주공2차아파트)","13","9"
"1824","정다운어린이집","사회복지법인","전라북도 전주시 덕진구 매봉8길 17-14","86","78"
"1825","룸비니어린이집","법인·단체등","전라북도 전주시 덕진구 가리내로 42-13","49","48"
"1826","크레파스어린이집","가정","인천광역시 남동구 만수서로 55 향촌휴먼시아119동102호 (구월동)","20","20"
"1827","꿈에그린어린이집","가정","경상남도 창원시 성산구 상남로 48 13동 108호(상남동, 대우아파트)","11","5"
"1828","리슈빌어린이집","민간","대구광역시 달서구 진천로 77 105동 1층 (진천동, 진천역계룡리슈빌)","42","42"
"1829","꿈초롱어린이집","가정","경기도 성남시 분당구 미금일로 22 205동 102호(구미동, 까치마을주공2단지아파트)","15","15"
"1830","작은숲 키큰나무어린이집","가정","경상남도 진주시 새평거로 111 312동 102호(평거동,평거휴먼시아3단지)","20","16"
"1831","키즈트리어린이집","가정","경상남도 진주시 새평거로 75 401동 103호 (평거동,평거휴먼시아4단지)","20","19"
"1832","푸른세상어린이집","가정","경기도 광명시 성채안로 26 광명역세권 휴먼시아 105-105","12","12"
"1833","하늘꿈어린이집","가정","대구광역시 서구 국채보상로50길 20 104동 101호","19","19"
"1834","산내들 어린이집","가정","경기도 양주시 고읍로 64 403동 105호(고읍동, 산내들마을휴먼시아)","10","10"
"1835","솔미어린이집","민간","경상남도 창원시 진해구 진해대로694번길 6-1 ()","26","26"
"1836","해와달어린이집","가정","경기도 수원시 권선구 고산로6번길 45 101동 105호(고색동, 대원)","20","18"
"1837","이안愛어린이집","민간","강원도 춘천시 영서로 2169 관리동1층(퇴계동,퇴계대우이안아파트)","23","23"
"1838","예랑어린이집","가정","인천광역시 남동구 포구로 64-14 107동 105호(논현동, 소래마을풍림아파트)","16","16"
"1839","푸른나라어린이집","가정","경기도 안산시 단원구 광덕2로 241 810동 101호(고잔동, 주공그린빌8단지아파트)","17","16"
"1840","해솔어린이집","가정","인천광역시 서구 서곶로 816 111동 101호(당하동, 탑스빌신대진아파트)","19","19"
"1841","늘사랑어린이집","가정","경기도 수원시 팔달구 창룡대로 194 404동 101호(우만동, 주공4차아파트)","13","13"
"1842","아이랑꿈이랑어린이집","민간","경상북도 포항시 남구 오천읍 문덕로12번길 20-13","35","24"
"1843","튼튼키즈어린이집","민간","경상남도 진주시 돗골로112번길 21 (상대동)","39","30"
"1844","내촌영광어린이집","민간","경기도 포천시 내촌면 내촌로 24-15","39","25"
"1845","한승솔뫼어린이집","가정","경기도 화성시 화산중앙로 34 104동 106호(송산동, 솔뫼마을한승미메이드아파트)","19","15"
